Addon name,Category,Author,License,Help,Requirements / Dependencies,Incompatible with,Attribute,Notes
,,,,,,,,
activity_feed,New Features,Chris Warburton / Chris Graham / Paul / Naveen,Licensed on the same terms as ocPortal,"Displays a self-updating feed of logged site activity, with options to filter the contents. Also includes a block for entering new activities directly into the feed, allowing a ""status update"" functionality. These blocks are put on the member profile tabs by default, but may also be called up on other areas of the site. If the chat addon is installed, ""status"" posts can be restricted to only show for buddies. If the Facebook of Twitter addons are installed then the system can syndicate out activities to the user's Twitter and Facebook followers. The blocks provided are main_activities and the status entry box is called main_activities_state. [code=""Comcode""][block=""Goings On"" max=""20"" grow=""0"" mode=""all""]main_activities[/block][/code] will show a feed with a title ""Goings On"" containing the last 20 activities, old activities will ""fall off the bottom"" (grow=""0"") as new ones are loaded via AJAX and there is no filtering on what is shown. (mode=""all"").  [code=""Comcode""][block=""Say Something""]main_activities_state[/block][/code] will show a status update box with the title ""Say Something"".",,,"JAVASCRIPT_BASE64.tpl, http://www.webtoolkit.info",
addon_publish,Development,Chris Graham,Licensed on the same terms as ocPortal,Scripts to help us in mass-publishing addons to ocportal.com (not useful in their direct form to anyone else).,,,,
password_censor,Development,Chris Graham,Licensed on the same terms as ocPortal,Scheduler script that regularly censors anything looking like a password stored in support ticket posts over 60 days old, to limit the potential fallout if your ticket system ever got compromised.,,,
admin_search_stemmer,Admin Utilities,Chris Graham,GPL,Our new Admin Zone search has premiered in 4.0.3. One small thing that is missing is something called a stemmer. A stemmer allows you to search for something like 'publishing' and match words like 'publish' in the results. This is the stemmer.,,,Jon Abernathy,
amazon_affiliates,Third Party Integration,Kamen Blaginov,Licensed on the same terms as ocPortal,"Displays an affiliate Amazon block in the portal that could be configured by the block parameters (associates id, product line, subject/keywords, and how many items to be displayed inside the block). This addon allows you to create a banner link to a number of banners from your Amazon affiliate account. You will need to know your Amazon affiliate ID as well as the Amazon category (Books, Music, Software etc) and the search term you want it to display banners from. An example of the code is [code=""Comcode""][block associates_id=""prehistoricsi-20"" title=""Amazon Affiliates"" product_line=""books"" subject_keywords=""lord of the rings"" items_number=""1""]side_amazon_affiliate_sales[/block][/code]",,,,
amazon_wishlist,Third Party Integration,Kamen Blaginov,Licensed on the same terms as ocPortal,"Adds an Amazon wishlist configured by the block parameters such as -- Amazon access and secret keys, Amazon wishlist id, and Amazon domain used. For this addon you will need to login at Amazon web services (http://aws-portal.amazon.com/gp/aws/developer/account/index.html) using your normal Amazon account log in. Once you have logged in and accepted the security message click on Security credentials on the left hand menu, click access keys and here you will find your access key and security key. When adding the addon you will be asked for four things: Access key, Security key, wishlist ID and domain. The Access and security keys you can find by following the process above, the wishlist ID is the string of numbers after the Amazon address usually something like ""2VAUC2FYIEUZ5"". Lastly the domain is either ""com"" or ""co.uk"" which will depend on the wishlist URL. An example of the code is: [code=""Comcode""][block access_key=""AKIAJXSQP4CES2F37GWQ"" secret_key=""xy9e5MHu4f9y7kjOjkysmjd58k2gjzN8YmC2/Ith"" wishlist_id=""2VAUC2FYIEUZ5"" domain=""com""]side_amazon_wishlist[/block][/code] Note: Sometimes wishlists may be quite long, you can create a specific wish list on Amazon to display and use that wishlist ID if you need to limit the amount of items on the list.","PHP simplexml extension, PHP 5.1",,,
aviary,Third Party Integration,Chris Graham,Licensed on the same terms as ocPortal,"This addons integrates the Aviary Phoenix onling image editor (http://www.aviary.com/) into ocPortal, so that on any form with an image field you can edit the images without needing any special software on your computer. This works very simply for both for new and existing uploads and is implemented securely so all your users may benefit from it.",Adobe Flash required,,,
better_mail,Third Party Integration,Chris Graham,Licensed on the same terms as ocPortal,"Replaces ocPortal's built in mailer with one based around Swift Mailer. This may help workaround problems with buggy/complex SMTP servers, or ones that require SSL (e.g. gmail). If you're not have mail problems there's no point using this.",PHP5,,,
booking,Development,Chris Graham,Licensed on the same terms as ocPortal,"Sophisticated booking system. Not yet fully finished for public use, but fully cohesive and suitable for some use cases. You may wish to deny access to the usergroup and member directories when using this addon, to prevent leakage of customer lists.",,,,
browser_detect,New Features,Chris Graham,GPL,"Adds a new 'browser_upgrade_suggest' block, that can be used like [tt][block ie_needed=??.0??browser_upgrade_suggest[/block][/tt]. It will advise the visitor on doing an upgrade from old versions of IE or other browsers.",,,Chris Schuld,
classified_ads,New Features,Chris Graham,Licensed on the same terms as ocPortal,"This addon lets you set up price scales for placing entries ('adverts') in catalogues. The scales allow you to define discounts to customers buying longer listing periods. You can set up a free period if you wish to. Customers are given a control panel (the classifieds module) that shows their listings and allows renewal. E-mails are sent the day before an ad expires. Fully integrated with catalogues, eCommerce, and OCF member accounts.","OCF, catalogues, ecommerce",,Icon by Andrey Kem,
cleanup_repository,Development,Chris Graham,Licensed on the same terms as ocPortal,Deletes all files defined as ocProducts non-bundled addons from the git repository (useful for cleaning up a pull for use on a project).,,,,
columns,Graphical,Chris Graham,Creative Commons Attribution 3.0,"Allows wrapping of HTML with a div with a column_wrapper CSS class, to have it automatically put in columns.

You need to add this code into your [tt]HEADER.tpl[/tt]:
[code]<script type=""text/javascript"" src=""http://ajax.googleapis.com/ajax/libs/jquery/1.6.2/jquery.min.js""></script>
{$CSS_INCLUDE,columns}
{$REQUIRE_JAVASCRIPT,javascript_columns}[/code]
",,,Based on the code of Adam Wulf,
comcode_flip_tag,Graphical,Chris Graham,Based on open code posted without a license,"[code=""Comcode""][flip=""A"" final_color=""FF0000"" speed=""400""]B[/flip][/code]
The above example creates a flip between text A and text B, taking 400ms. This is designed to use short messages or one word answers. If you want to change any of the standard CSS for this addon you can edit the flip.css file. Note: flip uses jQuery for the flip effect, so this example bundles jQuery and shows how it can be used.",Javascript enabled,,Luca Manno,
custom_ratings,Development,Chris Graham,Licensed on the same terms as ocPortal,Example of more complex rating configuration.,,,,
db_schema,Development,Chris Graham,Licensed on the same terms as ocPortal,Rather outdated scripts to help build the database structure documentation.,,,,
direct_video_link_posting,New Features,Chris Graham,Licensed on the same terms as ocPortal,"Allow posting of video links direct from Facebook, Youtube, or CNN, or links to mp3 files, and have them show through an embedded player.",,,,
